X1,X2,X3,X4
"PREACHER'S SON, LLC",BENTONVILLE,AR,Good Standing
"PRECISION OLD WORLD MASONARY, INC.",EUREKA SPRINGS,AR,Revoked
PREFERRED PERSONNEL AGENCY INC.,X,AR,Revoked
"PRELL MASONRY, INC.",FAYETTEVILLE,AR,Revoked
PREMIER WILSON STREET 1 LLC,HEBER SPRINGS,AR,Good Standing
"PREMIUM ORCHIDS BY SIROIS-HANSON CO, INC.",NORFORK,AR,Good Standing
PRESMYK AND SONS ROOFING INC.,LITTLE ROCK,AR,Revoked
"PRESTIGE PERSONNEL CONSULTANTS, INC.",X,AR,Revoked
PRESTIGIOUS PERSONAL CARE SERVICES INC,NORTH LITTLE ROCK,AR,Good Standing
PRESTON-PATTERSON CO INC,LITTLE ROCK,AR,Good Standing
"PREWITT-RICHARDSON FARMS, LLC",NORTH LITTLE ROCK,AR,Good Standing
"PRICE & SON TRUCKING, INC.",SPRINGDALE,AR,Revoked
"PRICE & WILLIAMSON, LLC",BROOKLAND,AR,Revoked
PRICE AND SON INCORPORATED,CONWAY,AR,Revoked
"PRICE MASONRY, LLC",NORTH LITTLE ROCK,AR,Revoked
"PRIDE IN DICKSON STREET, INCORPORATED",FAYETTEVILLE,AR,Good Standing
"PRIEST-DAVIDSON, INC.",BEEBE,AR,Dissolved
"PRIMARY CARE OF ARKANSAS, CHRYSTAL JOHNSON, M.D., P.A.",LITTLE ROCK,AR,Good Standing
PRIMECO PERSONAL COMMUNICATIONS L.P.,,,Expired
"PRINCE JOHNSON ENTERPRISES, INC.                                 (R)",LITTLE ROCK,AR,Revoked
"PRISON COMMITMENT MINISTRIES, INC.",HOT SPRINGS,AR,Good Standing
"PRISON EVANGELISM, INC.",NORTH LITTLE ROCK,AR,Good Standing
PRISON FELLOWSHIP MINISTRIES,LITTLE ROCK,AR,Good Standing
PRISON OPPOSITION COMMITTEE                                        (D),CALICO ROCK,AR,Dissolved
"PRISON TO PURPOSE, INC.",MCCRORY,AR,Good Standing
"PRISONER LITIGATION SUPPORT, INC.",LONOKE,AR,Revoked
PRISONER TRANSPORT AND SECURITY SYSTEMS INC.,QUITMAN,AR,Revoked
PRISONERS FOR CHRIST,MENA,AR,Good Standing
"PRISONERS OF LOVE MINISTRIES, INC.",SPRINGDALE,AR,Good Standing
"PRO OPTIC OF HARRISON, INC.",HARRISON,AR,Administratively Dissolved
"PRO-FIT PERSONAL TRAINING SERVICES, LLC",LITTLE ROCK,AR,Revoked
PROACTIVE PERSONAL DEFENSE TRAINING LLC,NORTH LITTLE ROCK,AR,Not Current
"PROCTOR & SONS, INC.",BEARDEN,AR,Revoked
"PROFESSIONAL BILLING SERVICES OF HARRISON, INC.",HARRISON,AR,Good Standing
"PROFESSIONAL HEALTHCARE PERSONNEL, INC.",ALMA,AR,Revoked
"PROFESSIONAL PERSONNEL AGENCY, INC.                                (R)",CAMDEN,AR,Revoked
"PROFESSIONAL PERSONNEL PROGRAMS, L.L.C.",LITTLE ROCK,AR,Dissolved
"PROFESSIONAL PERSONNEL SERVICES, INC.",WHITE HALL,AR,Dissolved
"PROJECT GRADUATION OF HARRISON, INC.",HARRISON,AR,Good Standing
PROMOS MASONRY LLC,CONWAY,AR,Revoked
PROSONIC CORPORATION,LITTLE ROCK,AR,Withdrawn
"PROSTAFF PERSONNEL, INC.",LITTLE ROCK,AR,Merged
PROVIDENCE PRISON MINISTRY INC,GREENBRIER,AR,Good Standing
PROVOST PRISONER TRANSPORT AND DETENTION SOLUTIONS INC.,CONWAY,AR,Revoked
"PRUDENTIAL-BACHE/WATSON & TAYLOR, LTD.-3",LITTLE ROCK,AR,Withdrawn
"PRYOR, ROBERTSON, BEASLEY & SMITH, PLLC",FORT SMITH,AR,Dissolved
PSIKAL AND SON INVESTMENTS LLC,BENTONVILLE,AR,Good Standing
PT HICKERSON PLLC,FAYETTEVILLE,AR,Revoked
"PURYEAR, O. L., & SONS, INC.",DUMAS,AR,Revoked
PW PARSONS INC.,ALMA,AR,Revoked
"PYRAMID MASONRY, INC.",BENTONVILLE,AR,Good Standing
"QUALITY MASONRY, INC.",FORT SMITH,AR,Revoked
QUALITY PERSONAL CARE SERVICES AGENCY LLC,PINE BLUFF,AR,Dissolved
QUALITY TOUCH MASONRY INC,PINE BLUFF,AR,Revoked
"QUALITY WOODWORKS, CLARKSON, LLC",LOWELL,AR,Revoked
QUEEN CITY WINNELSON CO.,LITTLE ROCK,AR,Good Standing
"QUINN - HENDERSON, INC.",LITTLE ROCK,AR,Revoked
"R & C MASONRY, LLC",LONOKE,AR,Revoked
"R & C PETERSON PROPERTIES, LLC",MAGNOLIA,AR,Dissolved
"R & G MASONRY CONTRACTORS, INC.",JONESBORO,AR,Good Standing
R & J THOMASON COMPANY,X,AR,Revoked
"R & J WATSON FAMILY, INC.",BEEBE,AR,Good Standing
"R & K JEFFERSON FARMS, LLC",BLYTHEVILLE,AR,Dissolved
"R & N JOHNSON FARMS, INC.",LAMAR,AR,Dissolved
R & R WILSON INVESTMENTS LLC,BATESVILLE,AR,Good Standing
"R & R WILSON, LLC",BATESVILLE,AR,Good Standing
"R & S ALLISON, LLC",ALMA,AR,Revoked
"R & S ANDERSON HOLDINGS, LLC",BENTONVILLE,AR,Good Standing
"R & S GILSON PROPERTIES, LLC",BAUXITE,AR,Good Standing
"R & S GILSON PROPERTIES, LLC.",,,Expired
"R & S HENDERSON FARM, INC.",MCGEHEE,AR,Dissolved
"R & S RICHARDSON PROPERTY I, LLC",TEXARKANA,AR,Good Standing
"R & S RICHARDSON PROPERTY II, LLC",TEXARKANA,AR,Good Standing
"R AND L WILKISON FARM, INC.",BRINKLEY,AR,Good Standing
"R AND R INVESTMENTS OF HARRISON, LLC",HARRISON,AR,Good Standing
"R C COLA OF HARRISON, INC.",HARRISON,AR,Revoked
"R C JOHNSON ENTERPRISES, "" LIMITED LIABILITY COMPANY """,LITTLE ROCK,AR,Revoked
"R E BURLESON TRANSPORT, L L C",SPRINGDALE,AR,Revoked
R JOHNSON TRUCKING LLC,SEARCY,AR,Not Current
R L JACKSON'S CONSTRUCTION COMPANY LLC,JONESBORO,AR,Not Current
R L WILSON INC,LITTLE ROCK,AR,Dissolved
"R MASONRY, LLC",FAYETTEVILLE,AR,Dissolved
"R P PERSONNEL, INC.",LITTLE ROCK,AR,Withdrawn
R PHARUS JACKSON WOOD PRODUCTS LLC,MOUNTAIN HOME,AR,Good Standing
R ROBERTSON ASSOCIATES L.L.C.,WALNUT RIDGE,AR,Good Standing
R V JOHNSON AGENCY INC.,LITTLE ROCK,AR,Good Standing
"R&S MASONRY, INC.",ROGERSROGERS,AR,Good Standing
"R, C AND C OF JACKSONVILLE, INC.",JACKSONVILLE,AR,Revoked
"R, LM, AND SONS INVESTMENTS, LLC",HEBER SPRINGS,AR,Good Standing
"R. A. GAMMILL & SON FARMS, INC.",TYRONZA,AR,Good Standing
"R. A. GIBSON, INC.",HOT SPRINGS,AR,Good Standing
"R. A. YOUNG & SON, INC.",FORT SMITH,AR,Revoked
"R. ALAN WATSON, M.D., P.A.",LITTLE ROCK,AR,Revoked
"R. B. JOHNSON FARM, INC",MARION,AR,Not Current
"R. B. WALKER & SONS, INC.",TRUMANN,AR,Revoked
"R. C. HARRISON FARMS, INC.",LOWELL,AR,Revoked
"R. C. JOHNSON & SONS, INC.",GRADY,AR,Dissolved
"R. CHRISTOPHER LAWSON, P.A.",LITTLE ROCK,AR,Good Standing
"R. D. AND SONS, INC.",HARRISON,AR,Revoked
"R. D. JACKSON FARMS, INC.",LEACHVILLE,AR,Good Standing
"R. DAVIDSON BUILDING & UTILITIES, INC.",ALPENA,AR,Revoked
R. DAVIDSON CONSTRUCTION COMPANY,ALPENA,AR,Revoked
"R. E. MASON LODGING, LLC",ROGERS,AR,Revoked
"R. FERGUSON UNIT 204 LIMITED PARTNERSHIP, LLLP",LITTLE ROCK,AR,Good Standing
"R. FERGUSON UNIT 204 LIMITED PARTNERSHIP, LLLP",SHERWOOD,AR,Converted
"R. GARRISON, LLC",SEARCY,AR,Dissolved
"R. J. HENDERSON, CO., INC.",LITTLE ROCK,AR,Dissolved
"R. J. ZEILER SONS, INC.",LITTLE ROCK,AR,Revoked
"R. JEFFREY REYNERSON, P.A.",SPRINGDALE,AR,Good Standing
"R. JESSE PARSONS III, INC.",LITTLE ROCK,AR,Good Standing
"R. JOHNSON, INC.",LITTLE ROCK,AR,Dissolved
"R. KELLER JACKSON, PLLC",LITTLE ROCK,AR,Good Standing
"R. L. COULSTON & SONS, INC.",LITTLE ROCK,AR,Revoked
"R. L. HIXSON, JR. L.L.C.",PINE BLUFF,AR,Good Standing
"R. L. HIXSON, JR. L.L.C.",,,Used
R. L. HUNT & SONS LEASING & DEVELOPMENT CORP.,PLAINVIEW,AR,Revoked
"R. LEE HINSON, JR., D.D.S., P.A.",LITTLE ROCK,AR,Good Standing
"R. M. PERSONNEL, INC.",LITTLE ROCK,AR,Withdrawn
"R. MARGARET DOBSON, PLLC",SHERIDAN,AR,Dissolved
"R. PATTERSON ENTERPRISES, INC.",SHERIDAN,AR,Revoked
"R. THOMPSON, INC.",HAMBURG,AR,Good Standing
"R. W. EVENSON, INC.",RUSSELLVILLE,AR,Withdrawn
"R. W. HARMON AND SONS, INC.",LITTLE ROCK,AR,Merged
"R.A. GAMMILL & SON, INC.",JOINER,AR,Good Standing
"R.A. JACKSON ENERGY, LLC",WALDO,AR,Not Current
"R.A. RICHARDSON FORESTRY, INC.",WARREN,AR,Good Standing
"R.A. RICHARDSON FORESTRY, LLC",WARREN,AR,Converted
"R.A. WILSON ENTERPRISES, INC.",ROYAL,AR,Good Standing
"R.A. WILSON ENTERPRISES, LLC",LITTLE ROCK,AR,Converted
"R.B. 'LYN' JOHNSON, P.A.",RUSSELLVILLE,AR,Dissolved
R.B. ADKISSON FAMILY LLC,LITTLE ROCK,AR,Good Standing
"R.C. JOHNSON, LLC",Grady,AR,Revoked
"R.D. FERGUSON TRUCKING, INC.",BEEBE,AR,Dissolved
R.D. WILMANS & SONS CO.,NEWPORT,AR,Good Standing
"R.H. CLARKSON FINANCIAL SERVICES, INC.",LITTLE ROCK,AR,Good Standing
"R.H. JOHNSON FINANCIAL SERVICES, INC.",FORT SMITH,AR,Revoked
"R.L. JOHNSON & SON, INC.",EL DORADO,AR,Good Standing
R.L. PATRICK & SONS BUILDER INC.,GREEN FOREST,AR,Revoked
"R.L. PERSONS CONSTRUCTION, INC.",JONESBORO,AR,Good Standing
"R.L.C. MASONRY, INC.",FAYETTEVILLE,AR,Revoked
"R.M. COURSON, INC.",HAMBURG,AR,Dissolved
R.M. JOHNSON LAWN SERVICE L.L.C.,LITTLE ROCK,AR,Revoked
"R.M. LAWSON, INC.",NORTH LITTLE ROCK,AR,Good Standing
"R.M. RINEARSON HOLDINGS, L.L.C.",JONESBORO,AR,Not Current
"R.M.S. CUSTOM MASONRY, INC.",CABOT,AR,Revoked
"R.N. FERGUSON COMPANY, INC.",LITTLE ROCK,AR,Revoked
R.R. DONNELLEY & SONS COMPANY,LITTLE ROCK,AR,Good Standing
"R.R. WILLIAMSON, INC.",ROLAND,AR,Good Standing
"R.T. WILSON ENTERPRISES, INC.",JONESBORO,AR,Revoked
"R.W. & SON PIPELINE CONSTRUCTION, INC.",BONANZA,AR,Good Standing
"R.W.GARZA&SON TRUCKING, LLC",ROGERS,AR,Revoked
"RACE BROTHERS FARM SUPPLY, INC., OF HARRISON",HARRISON,AR,Good Standing
RACE CROWELL MASONRY INC.,DARDANELLE,AR,Revoked
RACHEL JACKSON TRUCKING LLC,HUMNOKE,AR,Good Standing
"RACHEL R GIBSON DDS, P.A.",LITTLE ROCK,AR,Good Standing
"RADARSONICS/SOUTH, INC.",LITTLE ROCK,AR,Revoked
RADISON ARTIST MANAGEMENT INC.,LITTLE ROCK,AR,Revoked
"RADISSON HOSPITALITY, INC.",LITTLE ROCK,AR,Good Standing
"RADISSON HOTELS INTERNATIONAL, INC.",LITTLE ROCK,AR,Good Standing
"RAE-SON PRODUCTIONS, INC.",LITTLE ROCK,AR,Revoked
RAESONS MGMT LLC,CONWAY,AR,Good Standing
"RAGNAR BENSON, LLC",Little Rock,AR,Good Standing
"RAIA, CARL, & SONS, INC.",SEARCY,AR,Revoked
"RAINBOLT & SON, INC.",JONESBORO,AR,Good Standing
RAINSONG LLC,FARMINGTON,AR,Good Standing
RAISON D'ETRE L.L.C.,LITTLE ROCK,AR,Good Standing
"RAKARSON DEVELOPERS, INC.",WHEATLEY,AR,Revoked
RALEY & SON INC.,SPRINGDALE,AR,Revoked
"RALPH C. CARLSON PARTNERSHIP, L.P.",WEST MEMPHIS,AR,Good Standing
RALPH E. WILSON P.A.,OSCEOLA,AR,Revoked
"RALPH H. WILSON, O.D., P.A., A PROFESSIONAL ASSOCIATION",BRINKLEY,AR,Revoked
"RALPH J. ROBINSON & SONS, INC.",RUSSELLVILLE,AR,Revoked
"RALPH M. PATTERSON, JR., ATTORNEY AT LAW, P. A.",NORTH LITTLE ROCK,AR,Revoked
"RALPH ROBINSON & SON, INC.",PINE BLUFF,AR,Good Standing
"RAMADA INN OF JACKSONVILLE, INC.",JACKSONVILLE,AR,Dissolved
RAMIREZ MASONRY LLC,CONWAY,AR,Revoked
"RAMSAY, BRIDGFORTH, ROBINSON AND RALEY, LLP",PINE BLUFF,AR,Good Standing
"RAMSEY MASONRY, INC.",FORT SMITH,AR,Revoked
RAMSON SQUARED PLUMBING & DRAIN SERVICE LLC,WEST FORK,AR,Dissolved
"RAMSONS CONSTRUCTION COMPANY, INC.",JONESBORO,AR,Not Current
"RAMSONS, INC.",JONESBORO,AR,Good Standing
RANCH AT ANDERSON LLC,ALEXANDER,AR,Good Standing
"RAND-SHAMBLIN-HUDSON ENGINEERING, INC.",EL DORADO,AR,Revoked
"RANDALL CARSON, M.D. P.A.",FORT SMITH,AR,Dissolved
"RANDALL JOHNSON BUILDERS, INC.",LOWELL,AR,Dissolved
"RANDALL R. HICKERSON, D.D.S.",TEXARKANA,AR,Dissolved
RANDALL ROBINSON PHOTOGRAPHY LLC,SPRINGDALESPRINGDALE,AR,Good Standing
"RANDALL-PAULSON ARCHITECTS, INCORPORATED",LITTLE ROCK,AR,Good Standing
"RANDCO & SONS, INC.",JACKSONVILLE,AR,Dissolved
"RANDY ALLISON INSURANCE, INC.",LITTLE ROCK,AR,Revoked
RANDY CLARKSON FOUNDATION,COLT,AR,Good Standing
"RANDY FERGUSON BUILDER, INC.",FARMINGTON,AR,Revoked
"RANDY JACKSON FARMS, INC.",LEACHVILLE,AR,Dissolved
"RANDY JACKSON TRUCKING, INC.",WARREN,AR,Revoked
"RANDY JOHNSON FARMS, INC.",OSCEOLA,AR,Good Standing
"RANDY JOHNSON PLUMBING, INC.",LINCOLN,AR,Good Standing
"RANDY K. PATTERSON, LTD.",LITTLE ROCK,AR,Dissolved
"RANDY SIMPSON, D.D.S., P.A.",MOUNTAIN HOME,AR,Good Standing
"RANDY WILLIAMSON, CRNA, INC.",TEXARKANA,AR,Revoked
"RANEY, GARLAND, & SONS, INC.",FORDYCE,AR,Good Standing
"RANSDELL & SON, INC.                                               (D)",FOUKE,AR,Dissolved
"RASON HOLDINGS, LLC",WEST MEMPHIS,AR,Good Standing
"RASONS ENTERPRISES, INC.",YELLVILLE,AR,Revoked
RATHGIBSON LLC,LITTLE ROCK,AR,Good Standing
"RAULERSON FARM, INC.",FULTON,AR,Good Standing
"RAUSCH, STURM, ISRAEL, ENERSON & HORNIK LLP",LITTLE ROCK,AR,Good Standing
"RAUSON OUTDOOR HOLDINGS, LLC",FAYETTEVILLE,AR,Revoked
RAVINDRA SONS INC,JONESBORO,AR,Good Standing
"RAWLINSON CONSTRUCTION, LLP",TEXARKANA,AR,Not Current
"RAWSON & ASSOCIATES, INC. ALBERT MOORE TONY PAGE AGENCY",MOUNTAIN HOME,AR,Good Standing
"RAWSON GP, LLC",LITTLE ROCK,AR,Withdrawn
"RAWSON, INC.",LITTLE ROCK,AR,Revoked
"RAWSON, L.P.",LITTLE ROCK,AR,Converted
"RAWSON-LOUISIANA, INC.",LITTLE ROCK,AR,Withdrawn
"RAY AND SONS MASONRY CONTRACTORS, INC.",DARDANELLE,AR,Revoked
"RAY DAWSON FARMS, INC.",LEXA,AR,Revoked
"RAY DOTSON LOGGING, INC.",DOVER,AR,Good Standing
"RAY HARRISON FARMS, INC.",BLYTHEVILLE,AR,Revoked
"RAY HOGGARD & SONS, INC.                                         (R)",LITTLE ROCK,AR,Revoked
"RAY J. WESON, LLC",NORTH LITTLE ROCK,AR,Good Standing
"RAY NELSON, PH.D, P.L.C.",HOT SPRINGS,AR,Revoked
RAY RICHARDSON CONSTRUCTION COMPANY,LITTLE ROCK,AR,Good Standing
RAY WHITAKER & SONS TRUCKING LLC,BENTON,AR,Dissolved
"RAY WILSON CONSTRUCTION AND DEVELOPMENT, LLC",HOT SPRINGS,AR,Revoked
"RAYMON FAULKNER AND SONS, INC.",HOT SPRINGS,AR,Good Standing
RAYMOND & SON CONSULTING LTD. CO.,LITTLE ROCK,AR,Dissolved
"RAYMOND AND SON, LLC",SPRINGDALE,AR,Revoked
"RAYMOND JOHNSON RENTALS, LLC",LITTLE ROCK,AR,Revoked
"RAYMOND NELSON INSURANCE AGENCY, INC.",FAYETTEVILLE,AR,Good Standing
"RAYMOND ROBERTSON INVESTMENTS, LLC",TAYLOR,AR,Revoked
"RAYMOND YOUNG & SON, INC.",CAMDEN,AR,Revoked
"RAYSON INVESTMENTS, LLC",LITTLE ROCK,AR,Dissolved
"RAZORBUCK MASONRY, LLC.",LITTLE ROCK,AR,Good Standing
"RB WATSON INVESTMENTS, LLC",HEBER SPRINGS,AR,Good Standing
RC & SONS INC.,COAL HILL,AR,Not Current
"RC FLORES & SONS SERVICING, LLC",BENTON,AR,Revoked
"RD & M JACKSON ESTATE, LLC",WILMOT,AR,Good Standing
"RDIXSON XPRESS, LLC",BULL SHOALS,AR,Revoked
RDJOHNSON MEDICAL LLC,LITTLE ROCK,AR,Revoked
"RDWILLIAMSON, INC.",PINE BLUFF,AR,Good Standing
"REA AND SON, LLC",VILONIA,AR,Revoked
REASON FOR HOPE ASSOCIATION,SPRINGDALE,AR,Good Standing
REASON SENIOR CARE LLC,FAYETTEVILLE,AR,Revoked
REASONABLE ACCOMODATIONS LLC,NORTH LITTLE ROCK,AR,Good Standing
REASONABLE SERVICE AND JR. MARINES,TEXARKANA,AR,Good Standing
"REASONABLE SOLUTIONS INTERNATIONAL, INC.",YELLVILLE,AR,Good Standing
"REASONER ENTERPRISES, INCORPORATED",,AR,Expired
"REASONER OF TEXARKANA, INC.",LITTLE ROCK,AR,Withdrawn
"REASONS CONSTRUCTION COMPANY, INC.",LITTLE ROCK,AR,Administratively Withdrawn
"REASONS CONSTRUCTION COMPANY, INC.",LITTLE ROCK,AR,Withdrawn
REASONS SPORTING LOUNGE CORP.,WILMAR,AR,Dissolved
REBECCA DICKSON INC,BAUXITE,AR,Revoked
REBECCA HUTCHISON INC.,JONESBORO,AR,Good Standing
"REBECCA I. HARRISON DESIGNS, INC.",FAYETTEVILLE,AR,Good Standing
"REBECCA J. DENISON, P.A., INC.",Little Rock,AR,Dissolved
"REBECCA P. JOHNSON, MD, PA.",OZARK,AR,Revoked
REBECCA ROBINSON GROOMING LLC,BENTONVILLE,AR,Good Standing
RECOGNIZE EDUCATION AND LIFE LESSONS SCHOLARS PROGRAM,MARIANNA,AR,Good Standing
"RED BISON ROOFING AND CONSTRUCTION, LLC",LITTLE ROCK,AR,Revoked
"RED DODSON SALES, INC.                                             (R)",PRAIRIE GROVE,AR,Revoked
"RED SIMPSON,  INC.",LITTLE ROCK,AR,Withdrawn
"REDDELL AND SONS DISPOSAL, INC.",HARRISON,AR,Dissolved
REDDEN AND SONS LLC,BROOKLAND,AR,Revoked
"REDGIE JOHNSON ENTERPRISES, INC.",PARAGOULD,AR,Dissolved
"REDMAN & ROBERTSON, INC.",X,AR,Revoked
REECE & PARSONS MERCANTILE CORPORATION                             (R),X,AR,Revoked
REECE & SON VINYL SIDING INC.,BROOKLAND,AR,Dissolved
REED AND SON TRUCKING LLC,ALEXANDER,AR,Good Standing
REED AND SON'S REMODELING LLC,SPRINGDALE,AR,Good Standing
"REED, WELLS, BENSON AND COMPANY",LITTLE ROCK,AR,Revoked
REESE & SON LAWN CARE LLC,NORTH LITTLE ROCK,AR,Revoked
REEVES & SON ARKANSAS APPLIANCE SERVICE LLC,VAN BUREN,AR,Good Standing
"REEVO OF HARRISON, LLC",HARRISONRRISON,AR,Not Current
"REGINA M. WILKERSON, DVM, PLLC",HARRISON,AR,Good Standing
"REGINA THOMPSON, INC.",CABOT,AR,Good Standing
"REGIONAL CARE OF JACKSONVILLE, LLC",ROGERS,AR,Good Standing
"REGIONAL JET CENTER OF HARRISON, INC.",SPRINGDALE,AR,Revoked
"REGORSON, INC.",FORT SMITH,AR,Good Standing
REHM AND SONS OVERHEAD DOOR & FENCE LLC,DE QUEEN,AR,Good Standing
"REICH, A. & SONS, INC.                                             (*)",LITTLE ROCK,AR,Revoked
"REKE, J. A., AND SON PAVEMENT MARKING, INC.",LITTLE ROCK,AR,Revoked
"RENAE FORD HUDSON, ATTORNEY AT LAW, PLLC",LITTLE ROCK,AR,Revoked
RENEE A. DAWSON L.L.C.,NORTH LITTLE ROCK,AR,Revoked
"RENTAL CENTER OF JACKSONVILLE, INC.",JACKSONVILLE,AR,Revoked
"RENTAL CONCEPTS JACKSONVILLE, LLC",JONESBORO,AR,Good Standing
RESONANCE INNOVATIONS LLC,VAN BUREN,AR,Good Standing
RESONANCE LLC,SEARCY,AR,Good Standing
RESONATE,JONESBORO,AR,Good Standing
"RESOURCES UNLIMITED PERSONNEL SERVICES, INC.",LITTLE ROCK,AR,Revoked
RESTORATION SONG LLC,CAVE SPRINGS,AR,Revoked
"RESULTS BY TINA PERSONAL TRAINING STUDIO, LLC",LITTLE ROCK,AR,Good Standing
"REX DODSON, INC.",CROSSETT,AR,Revoked
REX K. JOHNSON COMPANY,LITTLE ROCK,AR,Withdrawn
"REYNOLDS & SON LAWN CARE, LLC",PARAGOULD,AR,Revoked
"REYNOLDS & SONS MANUFACTURING, LLC.",CLARENDON,AR,Revoked
REYNOLDS AND SONS INC.,Russellville,AR,Revoked
RG MASONRY LLC,LITTLE ROCK,AR,Revoked
RH PETERSON CO.,ROGERS,AR,Withdrawn
RHODES FOUR SEASONS FLORIST INC.,LITTLE ROCK,AR,Revoked
RHON JOHNSON MINISTRIES,LITTLE ROCK,AR,Good Standing
"RHONDA AND HARRISON FRENCH PROPERTIES, LLC",BENTONVILLE,AR,Good Standing
"RHONDA EDISON HIGGINS, D.O., P.A.",PINE BLUFF,AR,Revoked
"RHONDA V. EDISON D.O., P.A.",ROGERS,AR,Good Standing
RICE & SON FARMS LLC,CONWAY,AR,Good Standing
"RICE & SONS LAND COMPANY, INC.",MARION,AR,Revoked
"RICH CENT MASONRY, INCORPORATED",SPRINGDALE,AR,Dissolved
RICH RICHARDSON CONSTRUCTION LLC,SPRINGDALE,AR,Good Standing
"RICHARD A. DOTSON, D.O., P.A.",FORT SMITH,AR,Revoked
"RICHARD AND SONS CONCRETE, INC.",GREENBRIER,AR,Good Standing
"RICHARD ANDERSON CORPORATE COMMUNICATIONS, INC.",LITTLE ROCK,AR,Revoked
RICHARD C AND KELLY HORNE JOHNSON CHARITABLE FOUNDATION INC,RUSSELLVILLE,AR,Good Standing
"RICHARD C. JOHNSON CHARITABLE FOUNDATION, INC.",HENDERSON,AR,Dissolved
"RICHARD D THOMPSON & ASSOCIATES, INC.",RUSSELLVILLE,AR,Revoked
"RICHARD DILLARD MASONRY, INC.",FORT SMITH,AR,Dissolved
RICHARD GIBSON DETAILING LLC,GLENWOOD,AR,Revoked
RICHARD HARRISON FOUNDATION 2 LLC,LITTLE ROCK,AR,Good Standing
RICHARD HARRISON FOUNDATION 2019,LITTLE ROCK,AR,Good Standing
"RICHARD JOHNSON & ASSOCIATES, INC.                               (R)",NORTH LITTLE ROCK,AR,Revoked
"RICHARD JOHNSON, M.D. LLC",LITTLE ROCK,AR,Revoked
"RICHARD L. HENDERSON TRUCKING, INC.",LITTLE ROCK,AR,Dissolved
"RICHARD MORRISON CONSTRUCTION CO., INC.                          (R)",LITTLE ROCK,AR,Revoked
"RICHARD STEVENSON M.D., CARDIOTHORACIC AND VASCULAR SURGERY, A",JONESBORO,AR,Revoked
"RICHARD WILSON, M.D., P.A.",STUTTGART,AR,Revoked
"RICHARDS & SONS, INC.",LITTLE ROCK,AR,Good Standing
"RICHARDSON & ASSOCIATES, P.A.",LITTLE ROCK,AR,Revoked
"RICHARDSON & HEBERT, LLC",MENA,AR,Revoked
RICHARDSON & HINTON RACE FOR HOPE OUTREACH INC,WYNNE,AR,Good Standing
"RICHARDSON & MONROE, D.D.S., P.A.",LITTLE ROCK,AR,Good Standing
"RICHARDSON & RICHARDSON ENTERPRISES, INC.",LITTLE ROCK,AR,Good Standing
"RICHARDSON & RICHARDSON, LLC",FORT SMITH,AR,Revoked
"RICHARDSON & SAVAGE FOODS, INC.",NORTH LITTLE ROCK,AR,Dissolved
"RICHARDSON - HURLEY LIMITED PARTNERSHIP, LLLP",EL DORADO,AR,Converted
"RICHARDSON ACCOUNTING & CONSULTING, PLLC",BATESVILLE,AR,Good Standing
RICHARDSON AGENCY L.L.C.,MAUMELLE,AR,Good Standing
"RICHARDSON AND NICHOLS, CPA INC.",CABOT,AR,Good Standing
"RICHARDSON ANESTHESIA, PLLC",JONESBORO,AR,Good Standing
"RICHARDSON APPLIANCE SERVICE, LLC",HARRISON,AR,Good Standing
"RICHARDSON APPLICATION SUPPORT, L.L.C.",VIOLA,AR,Dissolved
"RICHARDSON AUTO, LLC",JONESBORO,AR,Good Standing
RICHARDSON BRANDS COMPANY,LITTLE ROCK,AR,Revoked
"RICHARDSON BUILDERS, LLC",NORTH LITTLE ROCK,AR,Good Standing
"RICHARDSON CHIROPRACTIC AND ACUPUNCTURE, PLC",CAVE SPRINGS,AR,Revoked
RICHARDSON CONSTRUCTION COMPANY                                    (M),NORTH LITTLE ROCK,AR,Merged
"RICHARDSON CONSTRUCTION COMPANY, INC.",X,AR,Revoked
RICHARDSON CONSULTING CORP,JONESBORO,AR,Good Standing
"RICHARDSON DESIGN AND ILLUSTRATION, LLC",LITTLE ROCK,AR,Not Current
"RICHARDSON DESIGN PARTNERSHIP, LLC",LITTLE ROCK,AR,Good Standing
"RICHARDSON DIVERSIFIED SRVICES, LLC",WHITE HALL,AR,Revoked
RICHARDSON DOZER SERVICE INC,GRANNIS,AR,Dissolved
"RICHARDSON EAST NEIGHBORHOOD PHARMACY, INC.",MOUNTAIN HOME,AR,Revoked
"RICHARDSON ECONOMICS, LLC",,,Expired
"RICHARDSON ECONOMICS, LLC",FORT SMITH,AR,Good Standing
RICHARDSON ELECTRIC LLC,BENTON,AR,Revoked
"RICHARDSON ELECTRICAL AND INSTRUMENTATION COMPANY, INC.            (R)",LITTLE ROCK,AR,Revoked
"RICHARDSON ENGINEERING, PLLC",BENTON,AR,Good Standing
"RICHARDSON ENTERPRISES, INC.",NORTH LITTLE ROCK,AR,Dissolved
"RICHARDSON ENTERPRISES, INC. OF FAYETTEVILLE, ARKANSAS",FAYETTEVILLE,AR,Good Standing
"RICHARDSON ENTERPRISES, LLC",EL DORADO,AR,Revoked
"RICHARDSON ENVIRONMENTAL & EXCAVATING SERVICES, INC.",TEXARKANA,AR,Withdrawn
"RICHARDSON FAMILY FARMS, L.L.L.P.",MAUMELLE,AR,Not Current
"RICHARDSON FAMILY RENTALS, L.L.C.",CORNING,AR,Good Standing
